File Name,Directory,Last Execution
su-setup32.exe,C:\ProgramData\Sophos\AutoUpdate\Cache\sophos_autoupdate1.dir,2022-12-17 13:27:53.096000
PowerToys.PowerLauncher.exe,C:\Program Files\PowerToys\modules\launcher,2022-12-18 04:27:42.360000
Everything.exe,C:\Program Files\Everything,2022-12-28 16:06:24.212000
SnagPriv.exe,C:\Program Files\TechSmith\Snagit 2022,2022-10-21 12:50:49.645000
Microsoft.SharePoint.exe,C:\Program Files\Microsoft OneDrive\22.093.0501.0001,2022-05-17 11:49:09.031000
RealTimeSync.exe,C:\Program Files\FreeFileSync,2022-12-21 02:57:19.203000
SUMo.exe,C:\Program Files (x86)\KC Softwares\SUMo,2022-07-29 02:49:39.540000
MediaMonkey.exe,C:\Program Files (x86)\MediaMonkey 5,2022-12-18 03:56:19.423000
MusicBee.exe,K:\MusicBee,2022-12-28 16:07:48.304000
SnagitCapture.exe,C:\Program Files\TechSmith\Snagit 2022,2022-10-20 02:58:46.851000
EditPadPro8.exe,C:\Program Files\Just Great Software\EditPad Pro 8,2022-12-29 03:21:42.344000
NVIDIA GeForce Experience.exe,C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience,2022-12-15 00:42:47.999000
setup.exe,C:\ProgramData\NVIDIA Corporation\Downloader\8d10d578aa8b008854e5e17b227d8d5a_extracted,2022-05-13 02:52:52.600000
WinRAR.exe,C:\Program Files\WinRAR,2022-09-29 17:43:29.992000
MarkdownMonsterSetup (1).exe,M:\Downloads,2022-06-04 03:30:12.947000
kali.exe,C:\Program Files\WindowsApps\KaliLinux.54290C8133FEE_1.11.0.0_x64__ey8k8hqnwqnmg,2022-05-14 03:44:31.697000
SamsungMagician.exe,C:\Program Files (x86)\Samsung\Samsung Magician,2022-05-16 14:52:56.547000
gkape.exe,V:\DFIR Tools\KAPE,2022-06-20 19:53:41.640000
Integrator.exe,C:\Program Files\Microsoft Office\root\Integration,2022-12-28 19:08:33.829000
SnagitEditor.exe,C:\Program Files\TechSmith\Snagit 2021,2022-05-20 15:31:58.949000
FreeFileSync.exe,C:\Program Files\FreeFileSync,2022-12-28 12:54:41.046000
Microsoft.SharePoint.exe,C:\Program Files\Microsoft OneDrive\22.099.0508.0001,2022-05-19 17:54:29.740000
dopus.exe,C:\Program Files\GPSoftware\Directory Opus,2022-12-18 04:15:51.992000
updater.exe,C:\Program Files\Mozilla Firefox,2022-11-04 19:41:04.103000
Bootstrapper.exe,C:\ProgramData\Package Cache\{e20653a4-3735-4133-82cf-03f491e3f891},2022-05-21 04:02:04.037000
Bootstrapper.exe,C:\ProgramData\Package Cache\{4d991aa8-477f-46e2-8e14-d1f02f731e9e},2022-05-20 15:32:43.775000
CamtasiaInstaller.exe,C:\ProgramData\Package Cache\{33b454a4-89d5-430e-8239-62f72c287664},2022-05-21 03:59:42.832000
msiexec.exe,C:\Windows\System32,2022-12-01 03:22:13.842000
unins000.exe,C:\Program Files\GIMP 2\uninst,2022-05-21 03:54:41.586000
WsaClient.exe,C:\Program Files\WindowsApps\MicrosoftCorporationII.WindowsSubsystemForAndroid_2203.40000.3.0_x64__8wekyb3d8bbwe\WsaClient,2022-05-21 13:44:42.957000
unins000.exe,C:\Program Files\PremiumSoft\Navicat Premium 16,2022-05-21 04:16:00.458000
unins000.exe,C:\Program Files\PremiumSoft\Navicat 15 for SQLite,2022-05-21 04:17:58.158000
Setup.Microsoft.PowerAutomateDesktop.exe,C:\ProgramData\Package Cache\{e1166660-2744-4355-b0f2-4104d6a8b839},2022-05-21 13:00:09.844000
CamtasiaInstaller.exe,C:\ProgramData\Package Cache\{a1152843-5a52-4c99-b29c-622e86318d40},2022-05-21 13:43:34.089000
MediaMonkey_5.0.3.2626.exe,M:\Downloads,2022-05-21 19:34:20.775000
dopusrt.exe,C:\Program Files\GPSoftware\Directory Opus,2022-11-21 15:29:38.333000
Everything-1.4.1.1015.x64-Setup.exe,M:\Downloads,2022-05-23 20:29:04.147000
setup.exe,C:\ProgramData\NVIDIA Corporation\Downloader\7adc8ae5be1b11cc29f45f22a7275e0d_extracted,2022-05-25 12:09:01.103000
msteams.exe,C:\Program Files\WindowsApps\MicrosoftTeams_22133.500.1346.3200_x64__8wekyb3d8bbwe,2022-06-04 03:10:28.268000
SnagitEditor.exe,C:\Program Files\TechSmith\Snagit 2022,2022-09-21 17:08:39.039000
DriverEasy.exe,C:\Program Files\Easeware\DriverEasy,2022-12-01 15:41:37.140000
Microsoft.SharePoint.exe,C:\Program Files\Microsoft OneDrive\22.105.0515.0002,2022-05-28 13:15:45.988000
uedit64.exe,C:\Program Files\IDM Computer Solutions\UltraEdit,2022-12-17 19:11:45.866000
UEStudio.exe,C:\Program Files\IDM Computer Solutions\UEStudio,2022-05-28 20:11:15.691000
uc.exe,C:\Program Files\IDM Computer Solutions\UltraCompare,2022-05-28 20:11:54.368000
Battle.net Launcher.exe,Z:\Battle.net,2022-12-09 03:30:04.685000
MediaMonkey_5.0.3.2627.exe,M:\Downloads,2022-05-30 18:36:46.198000
PhoneExperienceHost.exe,C:\Program Files\WindowsApps\Microsoft.YourPhone_1.22051.114.0_x64__8wekyb3d8bbwe,2022-06-02 12:39:10.961000
Microsoft.SharePoint.exe,C:\Program Files\Microsoft OneDrive\22.111.0522.0002,2022-06-06 14:04:48.279000
SumatraPDF-3.4.4-64-install.exe,M:\Downloads,2022-06-03 04:00:03.467000
PhoneExperienceHost.exe,C:\Program Files\WindowsApps\Microsoft.YourPhone_1.22051.115.0_x64__8wekyb3d8bbwe,2022-06-06 16:22:49.295000
ProtonVPN_win_v2.0.0.exe,C:\ProgramData\ProtonVPN\Updates,2022-06-06 14:07:17.296000
msiexec.exe,C:\Windows\SysWOW64,2022-08-25 11:51:44.111000
ProtonVPN.exe,C:\Program Files (x86)\Proton Technologies\ProtonVPN,2022-12-15 00:38:34.052000
Microsoft.SharePoint.exe,C:\Program Files\Microsoft OneDrive\22.116.0529.0002,2022-06-09 13:15:50.638000
